Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit,Payment_Mode,Rating,Sales_Calculated,Sales_Mismatch,Profit_Mismatch,Sales_Outlier,Profit_Outlier,Order_Year,Order_Month,Order_Month_Name,Order_Weekday,Profit_Margin_%
ORD1964,2024-01-05,C0964,Ajay Sharma,Female,20,Pune,West,Fruits,Banana Dozen,5,339,15,1440.75,1106.96,333.79,UPI,1,1440.75,False,False,False,False,2024,1,Jan,Friday,23.17
ORD1693,2024-01-06,C0693,Kavya Kannan,Female,20,Pune,West,Household,Cleaner,8,489,10,3520.8,2635.5,885.3,Cash,5,3520.8,False,False,False,False,2024,1,Jan,Saturday,25.14
ORD1974,2024-01-06,C0974,Karthik Joseph,Male,51,Bangalore,West,Grocery,Rice 5Kg,6,520,20,2496.0,1872.0,624.0,Cash,3,2496.0,False,False,False,False,2024,1,Jan,Saturday,25.0
ORD1729,2024-01-06,C0729,Priya Raj,Female,39,Pune,West,Beverages,Coffee Powder,2,484,10,871.2,647.4,223.8,UPI,5,871.2,False,False,False,False,2024,1,Jan,Saturday,25.69
ORD1720,2024-01-07,C0720,Divya Singh,Male,48,Madurai,South,Vegetables,Tomato 1Kg,4,474,15,1611.6,1276.88,334.72,Card,3,1611.6,False,False,False,False,2024,1,Jan,Sunday,20.77
ORD1800,2024-01-08,C0800,Divya Patel,Male,46,Trichy,South,Fruits,Orange 1Kg,9,758,15,5798.7,3878.52,1920.18,UPI,4,5798.7,False,False,False,True,2024,1,Jan,Monday,33.11
ORD1418,2024-01-08,C0418,Vignesh Verma,Female,59,Chennai,South,Fruits,Apple 1Kg,1,616,20,492.8,310.2,182.6,UPI,3,492.8,False,False,False,False,2024,1,Jan,Monday,37.05
ORD1771,2024-01-09,C0771,Meena Mohan,Male,21,Kochi,South,Snacks,Biscuits Pack,5,642,10,2889.0,1943.62,945.38,UPI,5,2889.0,False,False,False,False,2024,1,Jan,Tuesday,32.72
ORD1173,2024-01-09,C0173,Suresh Sharma,Male,45,Kochi,South,Grocery,Sugar 5Kg,10,694,15,5899.0,3960.81,1938.19,UPI,3,5899.0,False,False,False,True,2024,1,Jan,Tuesday,32.86
ORD1938,2024-01-09,C0938,Lakshmi Raj,Female,36,Chennai,South,Grocery,Cooking Oil 1L,1,347,0,347.0,290.05,56.95,Card,5,347.0,False,False,False,False,2024,1,Jan,Tuesday,16.41
